animeTitle	Amaenaide yo!! Katsu!!: Damasarenaide yo!!
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.6
animeUsers	6349
animeRank	
animePopularity	4757
animeDescription	A behind the scenes special of all the main characters in Amaenaide yo!! Katsu!!, where they give their own personal feelings about their past experiences with the show, as well as their working experiences with their fellow cast members.
animeRelated	['Amaenaide yo!! Katsu!!']
animeCharacters	['Nanbu, Chitose', 'Kazusano, Kazuki', 'Satonaka, Ikkou', 'Sugai, Hinata', 'Amanogawa, Haruka', 'Atouda, Yuuko', 'Ikuina, Sumi', 'Sugai, Sakura', 'Kawahara, Joutoku']
animeVoices	['Nakahara, Mai', 'Sanada, Asami', 'Suzuki, Chihiro', 'Shintani, Ryouko', 'Watanabe, Akeno', 'Higuchi, Chieko', 'Kawakami, Tomoko', 'Nanao, Haruhi', 'Sugiyama, Kazuko']
animeStaff	[['Motonaga, Keitarou', 'Director']]
