animeTitle	Oishinbo
animeType	TV
animeNumEpisode	136
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	260
animeRank	
animePopularity	8852
animeDescription	"Oishinbo is a drama about newspaper reporters. The main character is a cynical food critic named Yamaoka. Oishinbo is a popular mainstream comic for adults in Japan. It is even mentioned in an episode of ""Iron Chef.""

(Source: AniDB)"
animeRelated	['Oishinbo', 'Oishinbo: Kyuukyoku tai Shikou, Chouju Ryouri Taiketsu!!', 'Oishinbo Pilot']
animeCharacters	['Yamaoka, Shirou', 'Kurita, Yuuko', 'Kaibara, Yuuzan', 'Tomii, Osamu', 'Chairman Oohara', 'President Itayama', 'Kinzou', 'Soba Vendor', 'Okaboshi, Seiichi']
animeVoices	['Inoue, Kazuhiko', 'Shou, Mayumi', 'Otsuka, Chikao', 'Aomori, Shin', 'Saka, Osamu', 'Tsujimura, Mahito', 'Ootsuka, Houchuu', 'Futamata, Issei', 'Wakamoto, Norio']
animeStaff	[['Takeuchi, Yoshio', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Mizushima, Tsutomu', 'Episode Director, Storyboard, Production Manager, Color Setting'], ['Yonetani, Yoshitomo', 'Episode Director, Storyboard']]
