animeTitle	Suki tte Nandarou... Namida
animeType	Music
animeNumEpisode	1
releaseDate	2015-07-03 00:00:00
endDate	
animeNumMembers	140
animeScore	
animeUsers	
animeRank	13588
animePopularity	17138
animeDescription	Music video directed by ShiShi Yamazaki for the song Suki tte Nandarou... Namida by YUKI (Yuki Kuramochi). The full version of the music video was officially released on YouTube for a limited time before the single's drop on July 29, 2015. It was also included on DVD with a limited edition release.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
