animeTitle	b'Kuromajo-san ga Tooru!!'
animeType	b'TV'
animeNumEpisode	60
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	1656
animeRank	
animePopularity	
animeDescription	b'Kurotori Chiyoko, a 5th-grader in elementary school, loves the occult. One day, a friend requests her to do a love fortune-telling. Chiyoko tries to summon Cupid, but thanks to a stuffy nose, accidentally summons a witch named Gyubid instead!\n\nFrom that day on, Chiyoko starts learning witchcraft from Gyubid, the self-proclaimed hottest instructor of the magic world. The training regimen is tough, and punishment for slacking is harsh. Fortunately, Chiyoko is able to keep her extra-curricular studies secret, aided by the fact that no one else can see Gyubid.\n\n(Source: AnimeNfo.com)'
animeRelated	[b'Kuromajo-san ga Tooru!!']
animeCharacters	[b'Gyubid', b'Kurotori, Chiyoko', b'Kurotori, Chikako', b'Matsuoka-sensei', b'Jack', b'Leonard', b'Oh', b'Lantern', b'Melusine', b'Suzukaze, Sayaka']
animeVoices	[b'\nPark, Romi\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n', b'\nKouda, Naoko\nJapanese\n', b'\nMajima, Junji\nJapanese\n', b'\nWatanabe, Miku\nJapanese\n', b'\nTakeuchi, Ken\nJapanese\n', b'\nTakimoto, Fujiko\nJapanese\n', b'\nOota, Itsuki\nJapanese\n', b'\nTani, Ikuko\nJapanese\n', b'\nIgarashi, Hiromi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYasumi, Tetsuo\n\nDirector\n\n', b'\nUeno, Kimiko\n\nScript, Series Composition\n\n', b'\nMasuda, Toshihiko\n\nAnimation Director\n\n', b'\nOotake, Masae\n\nChief Animation Director, Character Design\n\n']
