animeTitle	Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku
animeType	OVA
animeNumEpisode	2
releaseDate	1993-07-23 00:00:00
endDate	
animeNumMembers	43501
animeScore	6.76
animeUsers	23428
animeRank	4796
animePopularity	2683
animeDescription	"Dr. Raichii is the only Tsufurujin (the race eradicated by the Saiyajin many years ago) thought to have survived. He now is going to take revenge on the only surviving Saiyajin still alive, Goku and Vegeta. He uses machines that emit destron, a gas that will destroy all life on Earth. Now the the Z warriors only have 72 hours to find and destroy Dr. Raichii.

(Source: ANN)"
animeRelated	['Dragon Ball Z', 'Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku']
animeCharacters	['Son, Gokuu', 'Vegeta', 'Son, Gohan', 'Piccolo', 'Future Trunks', 'Freeza', 'Bulma', 'Mr. Popo', 'Chi-Chi', 'Cooler']
animeVoices	['Nozawa, Masako', 'Horikawa, Ryo', 'Furukawa, Toshio', 'Kusao, Takeshi', 'Nakao, Ryusei', 'Tsuru, Hiromi', 'Nishio, Toku', 'Watanabe, Naoko']
animeStaff	[['Yamauchi, Shigeyasu', 'Director'], ['Koyama, Takao', 'Script'], ['Toriyama, Akira', 'Original Creator'], ['Tate, Naoki', 'Key Animation']]
