animeTitle	Tamagotchi! Yume Kira Dream
animeType	TV
animeNumEpisode	49
releaseDate	2012-09-10 00:00:00
endDate	2013-08-29 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12961
animeDescription	"Mametchi and his friends return to study abroad at Dream Town, a place that supports the dreams of all who live there. At Dream Town, Mametchi meets the aspiring idol singer Yumemitchi, Kiraritchi and other new characters as they all follow their own dreams. 

(Source: ANN) "
animeRelated	['Tamagotchi!', 'Tamagotchi! Miracle Friends', 'Tamagotchi! x Taka no Tsume: Tamagotchi de Seikai Seifuku']
animeCharacters	['Mametchi', 'Memetchi', 'Sutacchi', 'KuroMametchi']
animeVoices	['Kugimiya, Rie', 'Yonai, Yuki']
animeStaff	[['Shimura, Jouji', 'Director, Character Design'], ['Shimada, Souichi', 'Episode Director'], ['Dream5', 'Theme Song Performance'], ['Shouji, Yasukazu', 'Animation Director, Chief Animation Director, Character Design']]
