animeTitle	Little Busters!: Sekai no Saitou wa Ore ga Mamoru!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	12765
animeRank	
animePopularity	3495
animeDescription	"A special unaired episode of Little Busters! sent to those who bought all 9 BD/DVD volumes of the anime. This episode includes the story about ""Mask the Saitou."""
animeRelated	['Little Busters!']
animeCharacters	['Natsume, Kyousuke', 'Noumi, Kudryavka', 'Natsume, Rin', 'Kurugaya, Yuiko', 'Saigusa, Haruka', 'Naoe, Riki', 'Kamikita, Komari', 'Inohara, Masato', 'Nishizono, Mio', 'Miyazawa, Kengo']
animeVoices	['Midorikawa, Hikaru', 'Wakabayashi, Naomi', 'Tamiyasu, Tomoe', 'Tanaka, Ryouko', 'Suzuki, Keiko', 'Horie, Yui', 'Yanase, Natsumi', 'Canna, Nobutoshi', 'Tatsumi, Yuiko', 'Oda, Yuusei']
animeStaff	[['Tonokawa, Yuuto', 'Theme Song Lyrics'], ['Key', 'Original Creator'], ['Hinoue, Itaru', 'Original Character Design'], ['Na-Ga', 'Original Character Design']]
