animeTitle	100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	33948
animeRank	
animePopularity	1670
animeDescription	Second season of 100-man no Inochi no Ue ni Ore wa Tatteiru.
animeRelated	['100-man no Inochi no Ue ni Ore wa Tatteiru']
animeCharacters	['Yotsuya, Yuusuke', 'Shindou, Iu', 'Hakozaki, Kusue', 'Tokitate, Yuka', 'Kahabell', 'Aoyu', 'Yana', 'Torii, Keita', 'Carter, Glenda', 'Cantil']
animeVoices	['Uemura, Yuuto', 'Kubota, Risa', 'Waki, Azumi', 'Koichi, Makoto', 'Yuuki, Aoi', 'Taketatsu, Ayana', 'Toyonaga, Toshiyuki', 'Miki, Shinichiro']
animeStaff	[['Habara, Kumiko', 'Director'], ['Takatsuki, Kanako', 'Theme Song Performance'], ['Yoshioka, Takao', 'Series Composition'], ['Nao, Akinari', 'Original Character Design']]
