animeTitle	b'Youkoso Japari Park'
animeType	b'ONA'
animeNumEpisode	36
releaseDate	
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	718
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Kemono Friends']
animeCharacters	[b'Serval', b'Lucky Beast', b'Mirai', b'Caracal', b'Toki']
animeVoices	[b'\nNonaka, Ai\nJapanese\n', b'\nUchida, Aya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKasugamori, Haruki\n\nDirector, Script, Editing, In-Between Animation\n\n', b'\nAbe, Nobuyuki\n\nSound Director\n\n', b'\nTateyama, Akiyuki\n\nMusic\n\n', b'\nMatsuno, Kyouhei\n\nMusic\n\n']
