animeTitle	Titipo Titipo
animeType	TV
animeNumEpisode	26
releaseDate	2018-01-01 00:00:00
endDate	2018-03-27 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16486
animeDescription	"Say hi to Tayo's new friend - Titipo! Train Center's new born little train Titipo has just passed the driving examination and is prepared to work at the Train Village. Although Titipo dreams of becoming the best train in the world, his curious yet random personality catches him in unforeseen events and troubles everyday. Titipo expands his experience in the greater world and befriends Genie, Diesel, and other little trains. Will Titipo achieve his dream of becoming the best train? Come join the railroad journey and meet Titipo and the little train friends.

(Source: Official YouTube channel)"
animeRelated	['Kkoma Bus Tayo']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
