animeTitle	Detective Conan Bonus File: Fantasista Flower
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	3527
animeRank	
animePopularity	5709
animeDescription	"""Fantasista Flower"" is a side-story OVA related to The Eleventh Striker. 

(Source: Detective Conan World) "
animeRelated	['Detective Conan', 'Detective Conan Movie 16: The Eleventh Striker']
animeCharacters	['Edogawa, Conan', 'Sawamura, Naomi', 'Mouri, Ran', 'Suzuki, Sonoko', 'Oshihara', 'Shoji', 'Hama', 'Mizushima', 'Higo, Ryuusuke', 'Toonoka']
animeVoices	['Takayama, Minami', 'Iguchi, Yuka', 'Yamazaki, Wakana', 'Matsui, Naoko', 'Kisaichi, Atsushi', 'Takumi, Yasuaki', 'Okamoto, Nobuhiko', 'Yasumura, Makoto', 'Sakurai, Takahiro', 'Hanawa, Eiji']
animeStaff	[['Urakami, Keiko', 'Sound Director']]
