animeTitle	Majuu Jouka Shoujo Utea
animeType	OVA
animeNumEpisode	4
releaseDate	2015-12-11 00:00:00
endDate	2017-06-09 00:00:00
animeNumMembers	
animeScore	6.73
animeUsers	2368
animeRank	
animePopularity	6420
animeDescription	Based on the erotic manga by Suzu Suzuhane.
animeRelated	['Majuu Jouka Shoujo Utea']
animeCharacters	['Eiensui, Karen', 'Tomonoin, Mitsuki']
animeVoices	['Hara, Maika']
animeStaff	[['Raika, Ken', 'Director'], ['Suzuhane, Suzu', 'Original Creator']]
