animeTitle	b'Choujin Locke: Lord Leon'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	379
animeRank	
animePopularity	
animeDescription	"b""It is the year 336 of the Space Century on the planet of Sieren, and in the state of Innex, Flora Rain-who is blind-is employed at an elementary school. Flora is adored by her students, the principal of the school, and all the town\xe2\x80\x99s people, and enjoys a peaceful life in the town.\n\nBy chance, she meets a strange youth named Locke. Locke has numerous superpowers, although he is very discreet about them and gives the impression of being an ordinary youth.\n\nOne day, Locke is visited by a Military man, Major Caliann, who requests Locke\xe2\x80\x99s assistance in their investigation of Lordleon.\n\nLordleon and his space pirates have attacked the enterprise Astoria Concern, but the chairman, Great Georg, didn\xe2\x80\x99t report the incident to the Union. The Union (aware of the attacks) thought this was very strange, and decided to investigate Lordleon with Locke's help.\n\n(Source: Official Site)"""
animeRelated	[b'Choujin Locke', b'Choujin Locke: Shinsekai Sentai']
animeCharacters	[b'Locke', b'Leon']
animeVoices	[b'\nTobita, Nobuo\nJapanese\n', b'\nIkeda, Shuuichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshiguro, Noboru\n\nDirector\n\n', b'\nKimura, Tetsu\n\nEpisode Director\n\n', b'\nKawamura, Eiji\n\nTheme Song Arrangement\n\n', b'\nMatsuda, Akihiko\n\nSound Effects\n\n']
