animeTitle	Danchi Tomoo
animeType	TV
animeNumEpisode	78
releaseDate	2013-04-06 00:00:00
endDate	2015-02-07 00:00:00
animeNumMembers	875
animeScore	
animeUsers	
animeRank	15374
animePopularity	11472
animeDescription	It's a heartwarming and sometimes nonsense comedy about an elementary school boy Tomoo Kinoshita.
animeRelated	['Danchi Tomoo', 'Danchi Tomoo: Natsuyasumi no Shukudai wa Owatta no ka yo? Tomoo']
animeCharacters	['Kinoshita, Tomoo', 'Yoshida, Yoshinobu', 'Yoshimoto, Masato', 'Nezu, Yukio', 'Kinoshita, Tetsuo', 'Kinoshita, Tetsuko', 'Kamakura, Keiko', 'Kikukawa, Mitsuo', 'Kinoshita, Kimiko', 'Hayama, Yoriko']
animeVoices	['Sanpei, Yuuko', 'Takeda, Hana', 'Tamura, Mutsumi', 'Asako', 'Tone, Kentarou', 'Sakamoto, Chika', 'Fujimura, Ayumi', 'Nabatame, Hitomi', 'Makino, Yui', 'Hitosugi, Kasumi']
animeStaff	[['Ishiguro, Kyouhei', 'Director, Episode Director, Storyboard'], ['Watanabe, Ayumu', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Tsuchiya, Michihiro', 'Script']]
