animeTitle	Date A Live III
animeType	TV
animeNumEpisode	12
releaseDate	2019-01-11 00:00:00
endDate	2019-03-29 00:00:00
animeNumMembers	289349
animeScore	7.17
animeUsers	141505
animeRank	3020
animePopularity	604
animeDescription	"Shidou Itsuka carries on with his quest for Ratatoskr in finding Spirits and trying to seal their powers, all while maintaining his relationships with the ones he had already sealed. Moreover, as new Spirits appear, he must undergo more complicated trials—all to put a stop to further disasters as he discovers more about the Spirits' origin.

[Written by MAL Rewrite]
"
animeRelated	['Date A Live', 'Date A Live Movie: Mayuri Judgment', 'Date A Live IV']
animeCharacters	['Yatogami, Tooka', 'Tobiichi, Origami', 'Itsuka, Kotori', 'Itsuka, Shidou', 'Tokisaki, Kurumi', 'Yoshino', 'Izayoi, Miku', 'Yamai, Yuzuru', 'Natsumi', 'Yamai, Kaguya']
animeVoices	['Inoue, Marina', 'Togashi, Misuzu', 'Taketatsu, Ayana', 'Shimazaki, Nobunaga', 'Sanada, Asami', 'Nomizu, Iori', 'Chihara, Minori', 'Bridcutt, Sarah Emi', 'Mano, Ayumi', 'Uchida, Maaya']
animeStaff	[['Motonaga, Keitarou', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Sokuza, Makoto', 'Episode Director'], ['Harada, Nana', 'Episode Director']]
