animeTitle	Nurarihyon no Mago: Gekitou Dai Futsal Taikai! Nuragumi W Cup!!
animeType	Special
animeNumEpisode	1
releaseDate	2010-10-23 00:00:00
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	2410
animeRank	
animePopularity	6255
animeDescription	A special shown at the Jump Super Anime Tour 2010. It was later released as an extra accompanying Nurarihyon no Mago Blu-ray Box 1. 
animeRelated	['Nurarihyon no Mago']
animeCharacters	['Nura, Rikuo', 'Oikawa, Tsurara', 'Gitsune, Hagoromo', 'Kubinashi', 'Kappa', 'Kurotabou', 'Zen', 'Gyuki', 'Kejourou', 'Mezumaru']
animeVoices	['Fukuyama, Jun', 'Horie, Yui', 'Noto, Mamiko', 'Sakurai, Takahiro', 'Toriumi, Kousuke', 'Sugita, Tomokazu', 'Nakata, Jouji', 'Hoshi, Souichirou']
animeStaff	[['Katate Size', 'Theme Song Performance'], ['Shiibashi, Hiroshi', 'Original Creator'], ['Higashi, Junichi', 'Art Director'], ['Matsumura, Masahiro', 'Editing']]
