animeTitle	Brave Witches: Petersburg Daisenryaku
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	3030
animeRank	
animePopularity	5519
animeDescription	"As New Year’s Eve draws closer, preparations for a holiday party are underway in Petersburg. In anticipation of the event, Eila Ilmatar Juutilainen of the 501st Joint Fighter Wing is determined to take Sanya V. Litvyak on a leisurely walk around the city. However, despite Eila's best intentions, she gets interrupted every time she gets a chance to ask Sanya out, ruining the moment and separating the girls. To make things worse, a Neuroi is approaching the base, threatening both the squadmates and the celebration in Petersburg.

[Written by MAL Rewrite]
"
animeRelated	['Brave Witches']
animeCharacters	['Litvyak, Sanya V.', 'Juutilainen, Eila Ilmatar', 'Karibuchi, Hikari', 'Katajainen, Nikka Edvardine', 'Pokryshkin, Aleksandra Ivanovna', 'Kanno, Naoe', 'Krupinski, Waltrud', 'Lemare, Georgette', 'Rossmann, Edytha', 'Rall, Gundula']
animeVoices	['Kadowaki, Mai', 'Ohashi, Ayuru', 'Kakuma, Ai', 'Takamori, Natsumi', 'Hara, Yumi', 'Murakawa, Rie', 'Ishida, Kayo', 'Terui, Haruka', 'Igarashi, Hiromi', 'Satou, Rina']
animeStaff	[]
