animeTitle	b'Gifu no Tatekayoko'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""The series revolves around life in Gifu Prefecture in central Japan \xe2\x80\x94 as seen through the eyes of Tatekayoko, a female inhabitant who speaks in the dialect of Gifu's Tounou region. The anime will air within the Animal Gekijou program on Tokyo MX.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
