animeTitle	b'Romangeun Eobsda'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Hwang Soon-bok is a father of four who isn\xe2\x80\x99t gifted with great looks. He likes to make plans on family occasions which, in most cases, end in disaster. His wife, Koh Young-sook, is a nice-looking lady with bit of a temper. And, there are three daughters and a son who got their looks and personalities from both parents. The family is sitting around a table eating late-night delivery food on the night of the parents\xe2\x80\x99 wedding anniversary. The kids want to hear about how they got married and father and mother each tell their different versions of the story.\n\n(Source: Korean Film Biz Zone)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
