animeTitle	Chuubyou Gekihatsu Boy
animeType	TV
animeNumEpisode	11
releaseDate	2019-10-04 00:00:00
endDate	2019-12-13 00:00:00
animeNumMembers	39467
animeScore	6.77
animeUsers	12835
animeRank	4754
animePopularity	2838
animeDescription	"When Mizuki Hijiri transferred to a new school, all she wanted was to live a normal school life, but that did not prove to be the case when she met the infamous Hero Club. All of its members are boys suffering from various types of chuunibyou—Yamato Noda is a righteous hero, using his athletic abilities to perform noble deeds and protect others; Kazuhiro Nakamura claims to be the reincarnation of ""Touga Ryushouin,"" the result of the forbidden union between a demon and an angel; Tomoki Takashima is a pretty-boy otaku whose one true love is the 2D anime girl Sora; and Rei Tsukumo plays the role of a schemer, covertly pulling the strings.

Dragged along as the newest member of the Hero Club, tepid Hijiri can't obtain the normalcy that she desires. But even so, despite their various quirks, their bonds of friendship are real; Hijiri's life can only get more exciting when she joins in on their delusions of grandeur!

[Written by MAL Rewrite]"
animeRelated	['Chuubyou Gekihatsu Boy', 'Chuubyou Gekihatsu Boy: Otoko ni Umareta Shukumei Dakara']
animeCharacters	['Tsukumo, Rei', 'Noda, Yamato', 'Nakamura, Kazuhiro', 'Takashima, Tomoki', 'Mikuriya, Futaba', 'Hijiri, Mizuki', 'Faust', 'Ossan', 'Watase, Nanako', 'Homeroom Teacher']
animeVoices	['Enoki, Junya', 'Yamashita, Daiki', 'Kabumoto, Hideaki', 'Nakamura, Shuugo', 'Yasuda, Rikuya', 'Akasaki, Chinatsu', 'Ishida, Akira', 'Tsuda, Kenjirou', 'Senbongi, Sayaka', 'Seki, Kouji']
animeStaff	[['Ichikawa, Kazuya', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Matsuura, Arisa', 'Episode Director, Storyboard, Key Animation, Assistant Director, Character Design, Chief Animation Director, Animation Director'], ['Shimizu, Akane', 'Storyboard']]
