animeTitle	Jigokudou Reikai Tsuushin
animeType	OVA
animeNumEpisode	1
releaseDate	1996-08-09 00:00:00
endDate	
animeNumMembers	922
animeScore	6.14
animeUsers	337
animeRank	7978
animePopularity	11359
animeDescription	"Tetsushi, Ryouchin and Shiina are a youthful trio not to be trifled with; they have a fearsome reputation. One day they decide to enter Jingkudou, a store which is rumored to be the gateway to Hell, the storekeeper sure is creepy enough. He tells them a story and after that they decide, with a magical token provided by the storekeeper, to try and find the restless spirit of a murder victim in order to give her release. This is only the start of their supernatural career...

(Source: BakaBT)"
animeRelated	['Jigokudou Reikai Tsuushin']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
