animeTitle	Samurai Giants
animeType	TV
animeNumEpisode	46
releaseDate	1973-10-07 00:00:00
endDate	1974-09-15 00:00:00
animeNumMembers	
animeScore	6.34
animeUsers	136
animeRank	
animePopularity	11000
animeDescription	Ban Banjou is an insolent wild boy who was raised on the rough sea in Tosa, southern Japan. He joined the Tokyo Yomiuri Giants in Japanese pro baseball league such a baseball pitcher noted for the blazing fastball and the worst control. He fights hard battles against his rival batters, developing his incredible pitching magics.
animeRelated	['Samurai Giants']
animeCharacters	['Bamba, Ban', 'Kawakami, Tetsuji', 'Hatsuma, Tarobei', 'Minami, Rika', 'Chief, Wolf', 'Bamba, Yuki', 'Ozutsu, Bansaku', 'Mizuki, Hikaru']
animeVoices	['Tomiyama, Kei', 'Nishida, Shouichi', 'Naya, Rokurou', 'Mutou, Reiko', 'Yoshida, Rihoko', 'Nishio, Toku', 'Inoue, Makio']
animeStaff	[['Nagahama, Tadao', 'Episode Director'], ['Kaneko, Yutaka', 'Script'], ['Tomino, Yoshiyuki', 'Storyboard'], ['Dezaki, Osamu', 'Storyboard']]
