animeTitle	Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	22756
animeRank	
animePopularity	2703
animeDescription	Special episode included in the Blu-ray Box of Ano Natsu de Matteru.
animeRelated	['Ano Natsu de Matteru']
animeCharacters	['Takatsuki, Ichika', 'Yamano, Remon', 'Kirishima, Kaito', 'Tanigawa, Kanna', 'Kitahara, Mio', 'Ishigaki, Tetsurou', 'Rinon', 'Kirishima, Nanami', 'Ogura, Manami']
animeVoices	['Tomatsu, Haruka', 'Tamura, Yukari', 'Shimazaki, Nobunaga', 'Ishihara, Kaori', 'Asumi, Kana', 'Ogihara, Hideki', 'Hidaka, Rina', 'Hisakawa, Aya', 'Ono, Fuyuka']
animeStaff	[['Aketagawa, Jin', 'Sound Director'], ['Yanagi, Nagi', 'Theme Song Performance, Theme Song Lyrics'], ['KOTOKO', 'Theme Song Lyrics'], ['Ray', 'Theme Song Performance']]
