animeTitle	Agukaru
animeType	ONA
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	5.23
animeUsers	326
animeRank	
animePopularity	10213
animeDescription	"Set in the eastern Japanese prefecture of Ibaraki, Agukaru centers around Sanae Baraki, a farmer’s daughter who can see spirits. Every day she works on her field together with such spirits to produce the best agricultural goods. However, there is a group that aims for that field. With the blessing of the earth, she transforms into Agriculture Angel Baraki.
"
animeRelated	['Agukaru: Play with Ibaraki-hen Episode 0']
animeCharacters	['Baraki, Sanae', 'Mellorin', 'Pojirin', 'Kuroi', 'Mujirou', 'Degoro', 'Inaho']
animeVoices	['Yamamoto, Sayuri', 'Sakaguchi, Daisuke', 'Miyasaka, Shunzou', 'Suganuma, Hisayoshi', 'Yamazaki, Baron', 'Harada, Hitomi']
animeStaff	[['Ashina, Minoru', 'Director, Sound Director, Episode Director, Script, Storyboard, Series Composition, Character Design'], ['Takehara, Minoru', 'Animation Director, Character Design']]
