animeTitle	b'Chou Hatsumei Boy Kanipan'
animeType	b'TV'
animeNumEpisode	21
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	189
animeRank	
animePopularity	
animeDescription	"b""Cho Hatsumei Boy Kanipan is a continued story from Hatsumei Boy Kanipan. Kanipan is now a teenager, and still a famous inventor. But one day, a mysterious ship fell from the sky and crashed at a beach. Inside was a female humanoid that has forgotten all about herself. It is up to Kanipan to revive the humanoid's memory, and he accidentally discover that his planet is in great danger as he strived.\n\n(Source: ANN)"""
animeRelated	[b'Hatsumei Boy Kanipan']
animeCharacters	[b'Milk', b'Kanipan', b'Dobrock', b'Dr. Taishi', b'Nuts', b'Namul', b'Borscht', b'Cointreau', b'Grand Marnier', b'Igor']
animeVoices	[b'\nMitsuhashi, Kanako\nJapanese\n', b'\nTakeuchi, Junko\nJapanese\n', b'\nTakemoto, Eiji\nJapanese\n', b'\nAkaboshi, Shoichiro\nJapanese\n', b'\nIkoma, Harumi\nJapanese\n', b'\nTakahashi, Hiroki\nJapanese\n', b'\nMatsuyama, Takashi\nJapanese\n', b'\nKikuchi, Shiho\nJapanese\n', b'\nNaitou, Ryou\nJapanese\n', b'\nIwasaki, Masami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshiodori, Hiroshi\n\nDirector\n\n', b'\nHiramitsu, Takuya\n\nSound Director\n\n', b'\nUeda, Kouji\n\nEpisode Director\n\n', b'\nSakamoto, Maaya\n\nTheme Song Performance\n\n']
