animeTitle	God Eater Reso Nantoka Gekijou
animeType	ONA
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	5.7
animeUsers	560
animeRank	
animePopularity	7425
animeDescription	Short anime inspired by the iOS and Android mobile game God Eater Resonant Ops.
animeRelated	['God Eater', 'God Eater Reso Nantoka Gekijou: Nagerareta Shokupan', 'God Eater Reso Nantoka Gekijou: Episode EX']
animeCharacters	['der Vogelweid, Erina', 'Kamiki, Rio', 'Kamiki, Leo', 'Illinichina Amiella, Alisa', 'Schicksal, Souma', 'Fujiki, Kouta', 'Daiba, Canon', 'Kannagi, Yuu', 'Rupu, Vasily', 'Leonhardt Klausner, William']
animeVoices	['Asumi, Kana', 'Oozora, Naomi', 'Shimono, Hiro', 'Sakamoto, Maaya', 'Nakai, Kazuya', 'Sakaguchi, Daisuke', 'Hirohashi, Ryou', 'Miyasaka, Shunzou', 'Azakami, Youhei', 'Murata, Taishi']
animeStaff	[['Shinohara, Parako', 'Director, Series Composition'], ['Nagasaki, Yukio', 'Sound Director'], ['Asari, Fujiaki', 'Episode Director'], ['Itowokashi', 'Theme Song Performance']]
