animeTitle	b'Luo Xiao Hei Zhan Ji'
animeType	b'ONA'
animeNumEpisode	28
releaseDate	
endDate	
animeNumMembers	
animeScore	7.65
animeUsers	616
animeRank	
animePopularity	
animeDescription	b'The story begins on a rainy night, when a homeless little black cat is brought home by a young girl Luo Xiaobai. She names the cat Luo Xiao Hei. However, Luo Xiao Hei is no ordinary cat: he is a supernatural entity that hosts several small creatures called Heixiu. As Luo Xiao Hei new life soon threatened by the mysterious Diting, who commands three winged wolves.\n\n(Source: asiatvforum.com, edited)'
animeRelated	[b'Luo Xiao Hei Zhan Ji: Fan Wai', b'Luo Xiao Hei Zhan Ji (Movie)', b'Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men']
animeCharacters	[b'Luo, Xiaohei', b'Luo, Xiaobai', b'Xuanli', b'Lao Jun', b'Mr. Fu', b'Niepa', b'Diting', b'Shanxin']
animeVoices	[]
animeStaff	[]
