animeTitle	Sore Ike! Anpanman: Keito no Shiro no Christmas
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15683
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Prince Yarn', 'Princess Cashmere']
animeVoices	['Toda, Keiko']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Ooga, Shunji', 'Director'], ['Maeda, Minoru', 'Chief Animation Director'], ['Yanase, Takashi', 'Original Creator']]
