animeTitle	Saint Seiya: Soul of Gold
animeType	ONA
animeNumEpisode	13
releaseDate	2015-04-11 00:00:00
endDate	2015-09-26 00:00:00
animeNumMembers	
animeScore	7.06
animeUsers	14011
animeRank	
animePopularity	3516
animeDescription	"In the Underworld, during the fight against Hades, the 12 Gold Saints gave up their lives to destroy the Wailing Wall and allow Seiya and his friends to keep moving forward. Aioria and the Gold Saints, who should have disappeared, come back to life in this beautiful Earth full of light. How have they resurrected if they were supposed to be dead? While the big mystery remains, Aioria gets involved in a new battle and when his Cosmo exceeds its limits.. a change happens to the Leo Cloth!

(Source: AniChart/AniList)"
animeRelated	['Saint Seiya']
animeCharacters	['Leo, Aiolia', 'Lyfia', 'Virgo, Shaka', 'Gemini, Saga', 'Aquarius, Camus', 'Aries, Muu', 'Scorpio, Milo', 'Libra, Douko', 'Kido, Saori', 'Sagittarius, Aioros']
animeVoices	['Tanaka, Hideyuki', 'Hisakawa, Aya', 'Mitsuya, Yuuji', 'Okiayu, Ryoutarou', 'Canna, Nobutoshi', 'Yamazaki, Takumi', 'Seki, Toshihiko', 'Horiuchi, Kenyuu', 'Yara, Yuusaku']
animeStaff	[['Umezawa, Atsutoshi', 'Producer'], ['Furuta, Jouji', 'Director'], ['Suzuki, Yuuji', 'Episode Director'], ['Sasaki, Tokihiro', 'Episode Director']]
