animeTitle	Akashic Re:cords
animeType	ONA
animeNumEpisode	1
releaseDate	2016-10-18 00:00:00
endDate	
animeNumMembers	2920
animeScore	6.46
animeUsers	823
animeRank	6332
animePopularity	8471
animeDescription	"The animated opening for Square Enix and Kadokawa Game’s Akashic Re:cords RPG mobile game which launched for Android and iOS on November 10, 2016. The game had a short lived run and was terminated on August 31, 2017.

"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
