animeTitle	Blue Dragon: Tenkai no Shichi Ryuu
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	6482
animeRank	
animePopularity	4463
animeDescription	"After the events of the Blue Dragon series, Shu and Bouquet join a resistance group to fight General Rogi's army of invasion.They encounter a mysterious child , Noi, who has the power to revive Shu's shadow counter-part Blue Dragon, and save her from the pursuit of a red dragon. Now Shu and his company have to set foot once again on a journey to discover the purpose of the dragons, undergo their tests and stop the chains of events which threatens the fate of humanity. 

(Source: ANN) "
animeRelated	['Blue Dragon']
animeCharacters	['Blue Dragon', 'Shu', 'Bouquet', 'Marumaro', 'Andropov', 'Noi', 'Zola', 'Fagino', 'Kluke', 'Saber Tiger']
animeVoices	['Takatsuka, Masaya', 'Nemoto, Keiko', 'Nakajima, Saki', 'Uran, Sakiko', 'Yamaguchi, Kappei', 'Nabatame, Hitomi', 'Park, Romi', 'Takagi, Wataru', 'Hazuki, Erino']
animeStaff	[['Matsushita, Yukihiro', 'Director, Episode Director, Storyboard'], ['Takakuwa, Hajime', 'Sound Director'], ['Tsuchiya, Hiroyuki', 'Episode Director'], ['Ishihira, Shinji', 'Storyboard']]
