animeTitle	b'Shoujo\xe2\x98\x86Conto All Starlight'
animeType	b'ONA'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	696
animeRank	
animePopularity	
animeDescription	b'Chibi shorts based on Shoujo\xe2\x98\x86Kageki Revue Starlight.'
animeRelated	[b'Shoujo\xe2\x98\x86Kageki Revue Starlight']
animeCharacters	[b'Daiba, Nana', b'Tendou, Maya', b'Saijou, Claudine', b'Kagura, Hikari', b'Hoshimi, Junna', b'Tsuyuzaki, Mahiru', b'Aijou, Karen', b'Hanayagi, Kaoruko', b'Isurugi, Futaba', b'Yukishiro, Akira']
animeVoices	[b'\nKoizumi, Moeka\nJapanese\n', b'\nTomita, Maho\nJapanese\n', b'\nAiba, Aina\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nSatou, Hinata\nJapanese\n', b'\nIwata, Haruki\nJapanese\n', b'\nKoyama, Momoyo\nJapanese\n', b'\nItou, Ayasa\nJapanese\n', b'\nIkuta, Teru\nJapanese\n', b'\nNomoto, Hotaru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNii, Kazuhiro\n\nEditing\n\n']
