animeTitle	Tsurezure Children
animeType	TV
animeNumEpisode	12
releaseDate	2017-07-04 00:00:00
endDate	2017-09-19 00:00:00
animeNumMembers	586142
animeScore	7.61
animeUsers	313614
animeRank	1276
animePopularity	249
animeDescription	"Young love—it takes many unique and fascinating forms that flourish as children begin to mature into adults. From being unable to confess to not knowing what real love actually feels like, various obstacles can arise when learning about romantic attraction for the first time. But underneath all that, young love is something truly beautiful to behold, leading to brand new experiences for those young and in love.

Tsurezure Children depicts various scenarios of young love coming to fruition, along with the struggles and joys that it entails.

[Written by MAL Rewrite]"
animeRelated	['Tsurezure Children']
animeCharacters	['Akagi, Masafumi', 'Katori, Shinichi', 'Minagawa, Yuki', 'Takano, Chizuru', 'Kaji, Ryouko', 'Kamine, Ayaka', 'Ijima, Kana', 'Sugawara, Takurou', 'Gouda, Takeru', 'Sasahara, Satsuki']
animeVoices	['Ono, Kensho', 'Namikawa, Daisuke', 'Hanazawa, Kana', 'Minase, Inori', 'Sakura, Ayane', 'Ogura, Yui', 'Kitou, Akari', 'Ishikawa, Kaito', 'Maeno, Tomoaki', 'Uchida, Maaya']
animeStaff	[['Kaneko, Hiraku', 'Director'], ['Tateishi, Yayoi', 'Sound Director'], ['Urahata, Tatsuhiko', 'Script, Series Composition'], ['Crane, Deborah', 'Script']]
