animeTitle	Naniwa Yuukyouden: Kanketsu-hen
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16222
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Naniwa Yuukyouden: Kyouretsu! Ana ga Attara Iretai-hen']
animeCharacters	['Jinzou, Kintaro', 'Kaimon, Akimichi']
animeVoices	['Yasuoka, Rikiya', 'Kawachiya, Kikusuimaru']
animeStaff	[['Ochiai, Masamune', 'Director'], ['Kogure, Teruo', 'Director']]
