animeTitle	Butazuka
animeType	ONA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17169
animeDescription	"Butazuka (Pig Mound) was born after TEI took part in designing toys for Sony Creative Products in 2003 for their virtual animation series, Vanimal Zoo. In 2005, its 3D animation was broadcast by Yahoo! JAPAN. In December that same year, a Butazuka DVD featuring 13 stories was released by VAP.

(Source: Okosama-Star Inc.)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
