animeTitle	Yingxiong Zai Lin
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.01
animeUsers	4588
animeRank	
animePopularity	4425
animeDescription	"Zero was mankind’s first real superhero. Under his watch, countless other superheros appeared and followed in his footsteps. However, after 5 years of war, Zero disappeared without a trace.

(Source: zeroscans)"
animeRelated	[]
animeCharacters	['Jie, Lin', 'Qing, Yan', 'Thirteen', 'Zhan, Xiao', 'Xian, Zhu']
animeVoices	[]
animeStaff	[]
