animeTitle	Furusato Japan
animeType	Movie
animeNumEpisode	1
releaseDate	2007-04-07 00:00:00
endDate	
animeNumMembers	
animeScore	6.75
animeUsers	757
animeRank	
animePopularity	8994
animeDescription	"It was the spring of 1956, roughly 10 years after the end of the Pacific War. A new teacher named Rieko Sakamoto is assigned to an elementary school in Kiba, downtown Tokyo. At the same time, Shizu Miyanaga, a transfer student from Kobe, joins the class #4 of the 6th grade. Shizu is a bright, pretty girl who dreams to become a singer. Blessed with both athletic and academic abilities, Shizu quickly becomes the center of everyone's attention in the class. Akira, the son of a joiner and also the class president, starts to develop a special feeling for Shizu...

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Abe, Gonji']
animeVoices	['Kimura, Subaru']
animeStaff	[['Nishizawa, Akio', 'Director, Script'], ['Shioya, Yoku', 'Sound Director'], ['KOKIA', 'Theme Song Performance, Theme Song Lyrics, Theme Song Composition'], ['Suginami Jidou Gasshoudan', 'Inserted Song Performance']]
