animeTitle	b'Futari wa Precure'
animeType	b'TV'
animeNumEpisode	49
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	14289
animeRank	
animePopularity	
animeDescription	"b'Futari wa Precure protagonists Nagisa Misumi and Honoka Yukishiro are about as different as two people can get. Nagisa is the captain of the lacrosse team, a lover of food, and a hater of homework. Honoka loves to learn, working with the science club and earning the nickname ""The Queen of Knowledge"" from her fellow classmates. Their lives are unconnected until one day, when a mysterious star shower unites them.\n\nNagisa and Honoka meet Mipple and Mepple, two residents of the Garden of Light. Their homeland has been conquered by the evil forces of the Dark Zone who now have their sights set on the Garden of Rainbows: Earth. With powers from the Garden of Light, Nagisa becomes Cure Black and Honoka becomes Cure White. Together, they are Pretty Cure! Now Pretty Cure must locate the Prism Stones, the only power strong enough to defeat the Dark Zone and repair the damage done to the Garden of Light. Will these magical girls be able to protect their home from the evil that threatens it? Or will they be sucked into the darkness?'"
animeRelated	"[b'Futari wa Precure', b'Shousetsu Futari wa Precure', b'Futari wa Precure: Splash\xe2\x98\x86Star', b'Yes! Precure 5', b'Yes! Precure 5 GoGo!', b'Fresh Precure!', b'Heartcatch Precure!', b'Suite Precure\xe2\x99\xaa', b'Smile Precure!', b'Dokidoki! Precure', b'Happiness Charge Precure!', b'Go! Princess Precure', b'Mahoutsukai Precure!', b'Kirakira\xe2\x98\x86Precure A La Mode', b'Hug tto! Precure', b'Star\xe2\x98\x86Twinkle Precure', b""Healin' Good\xe2\x99\xa1Precure"", b'Tropical-Rouge! Precure', b'Futari wa Precure: Max Heart', b'Precure All Stars Movie DX: Minna Tomodachi\xe2\x98\x86Kiseki no Zenin Daishuugou!', b'Precure All Stars Movie DX2: Kibou no Hikari\xe2\x98\x86Rainbow Jewel wo Mamore!', b'Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu\xe2\x98\x86Nijiiro no Hana', b'Precure All Stars GoGo Dream Live!', b'Precure Dream Stars! Movie', b'Precure kara Minna e no Ouen Movie', b'Precure All Stars DX the Dance Live\xe2\x99\xa5: Miracle Dance Stage e Youkoso', b'Hug tto! Precure\xe2\x99\xa1Futari wa Precure Movie: All Stars Memories', b'Precure Miracle Universe Movie']"
animeCharacters	[b'Misumi, Nagisa', b'Yukishiro, Honoka', b'Mepple', b'Mipple', b'Pisard', b'Pollun', b'Kiriya ', b'Poisonny', b'Kubota, Shiho', b'Fujimura, Shougo']
animeVoices	[b'\nHonna, Youko\nJapanese\n', b'\nYukana\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nYajima, Akiko\nJapanese\n', b'\nTakahashi, Hiroki\nJapanese\n', b'\nIkezawa, Haruna\nJapanese\n', b'\nKiuchi, Reiko\nJapanese\n', b'\nUran, Sakiko\nJapanese\n', b'\nSendai, Eri\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishio, Daisuke\n\nDirector, Episode Director\n\n', b'\nIgarashi, Takuya\n\nEpisode Director\n\n', b'\nYamauchi, Shigeyasu\n\nEpisode Director, Storyboard\n\n', b'\nItou, Naoyuki\n\nEpisode Director, Storyboard, Key Animation\n\n']
