animeTitle	b'Accel World EX'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.12
animeUsers	54991
animeRank	
animePopularity	
animeDescription	b'OVA bundled with the Accel World simulation and action games. The Blu-ray OVA discs came with the PS3 limited edition versions and the DVD with the PSP limited edition versions.\n\nThe project was split into two PSP and PS3 titles, and one episode was released with each game:\n#EX01: Reverberation;Zankyou (bundled with Stage:01 Ginyoku no Kakusei)\n#EX02: Vacation;Onsen (bundled with Stage:02 Kasoku no Chouten)'
animeRelated	[b'Accel World']
animeCharacters	[b'Kuroyukihime', b'Arita, Haruyuki', b'Kurashima, Chiyuri', b'Mayuzumi, Takumu', b'Kouzuki, Yuniko', b'Kurasaki, Fuuko', b'Ash Roller', b'Kakei, Mihaya', b'Wakamiya, Megumi', b'Dushka']
animeVoices	[b'\nMisawa, Sachika\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nAsanuma, Shintaro\nJapanese\n', b'\nHidaka, Rina\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nMakino, Yui\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nAndou, Masaomi\n\nEpisode Director, Storyboard\n\n', b'\nKOTOKO\n\nTheme Song Lyrics, Theme Song Performance\n\n', b'\nMisawa, Sachika\n\nTheme Song Performance\n\n', b""\nMay'n\n\nTheme Song Performance\n\n""]"
