animeTitle	Shinkyoku no Grimoire The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	2014-11-28 00:00:00
endDate	2015-12-25 00:00:00
animeNumMembers	
animeScore	6.81
animeUsers	1853
animeRank	
animePopularity	6646
animeDescription	Based on the adult manga by Sawaru Erect.
animeRelated	['Shinkyoku no Grimoire: Pandra Saga 2nd Story', 'Pandra The Animation: Shiroki Yokubou Kuro no Kibou']
animeCharacters	['Wingedhorse, Unico', 'Lindbloom, Miyo', 'Reisenbach, Fumika', 'White, Sherry', 'Black, Reily ', 'Adam', 'Garlond, Patricia', 'Palkerths, Eva', 'Dante']
animeVoices	['Ookubo, Aiko']
animeStaff	[['Raika, Ken', 'Director'], ['Sawayama, Shinichiro', 'Script'], ['Doshida, Tomoaki', 'Storyboard, Character Design'], ['Erect, Sawaru', 'Original Creator']]
