animeTitle	Captain Tsubasa J
animeType	TV
animeNumEpisode	47
releaseDate	1994-10-21 00:00:00
endDate	1995-12-22 00:00:00
animeNumMembers	
animeScore	7.27
animeUsers	15075
animeRank	
animePopularity	3548
animeDescription	"The first 33 episodes are a summary of the previous series. In the first new episodes a new character, Shingo Aoi, (playing in Italy) is introduced. After that the world cup begins, this time with extraordinary, new countries like Sweden, Thailand or Uzbekistan. Unfortunately the Anime ends in the middle of the world cup after the match Japan-Uzbekistan.

(Source: ANN)"
animeRelated	['Captain Tsubasa: World Youth-hen', 'Captain Tsubasa: Road to 2002', 'Shin Captain Tsubasa', 'Captain Tsubasa: Saikyou no Teki! Holland Youth']
animeCharacters	['Oozora, Tsubasa', 'Wakabayashi, Genzou', 'Hyuuga, Kojirou', 'Misugi, Jun', 'Matsuyama, Hikaru', 'Ishizaki, Ryou', 'Nakazawa, Sanae', 'Misaki, Tarou', 'Wakashimazu, Ken', 'Aoi, Shingo']
animeVoices	['Sasaki, Nozomu', 'Miki, Shinichiro', 'Hiyama, Nobuyuki', 'Ogata, Megumi', 'Kashiwakura, Tsutomu', 'Yamaguchi, Kappei', 'Takimoto, Fujiko', 'Ishida, Akira', 'Seki, Tomokazu', 'Kikuchi, Masami']
animeStaff	[['Ishiodori, Hiroshi', 'Episode Director, Storyboard'], ['Kuzuya, Naoyuki', 'Episode Director, Storyboard'], ['Ohata, Kiyotaka', 'Episode Director'], ['Ishizaki, Susumu', 'Episode Director, Storyboard']]
