animeTitle	Mahou Shoujo Isuka
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	1603
animeRank	
animePopularity	7131
animeDescription	"The evil stone conceives a part of the king of the hell's power in a different world. To prevent his revival, the stone is implanted into a body of a magical girl! Now the clans from the hell follow after her. The evil stone cannot be regained by a simple destruction of the body. Thus, they start disgracing the magical girl in various ways!

(Source: dlsite)"
animeRelated	['Mahou Shoujo Isuka: After School']
animeCharacters	['Isuka', 'Kashiwagi, Tsumiki', 'Hyoudou, Genji', 'Lux', 'Sasaki, Yayoi', 'Ueno, Ayase']
animeVoices	['Ichimura, Oma', 'Hyo-sei', 'Gouno, Katsuhiko', 'Iwai, Yukiko']
animeStaff	[['Yoshida, Tomohiro', 'Sound Director'], ['Makino, Yukihiro', 'Storyboard'], ['Yakushi, Ruri', 'Theme Song Lyrics, Theme Song Composition'], ['Lilith Soft', 'Original Creator']]
