animeTitle	b'Yatterman'
animeType	b'TV'
animeNumEpisode	60
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	878
animeRank	
animePopularity	
animeDescription	b'Remake of the Yatterman series.'
animeRelated	[b'Yatterman', b'Time Bokan Series: Yatterman', b'Yatterman the Movie: Shin Yattermecha Osu Gou! Omocha no Kuni de Dai Ketsudan da Koron', b'Yatterman Specials', b'Believe', b'Yoru no Yatterman', b'Pandora to Akubi', b'Yatterman x Toshiba']
animeCharacters	[b'Doronjo', b'Kaminari, Ai', b'Boyacky', b'Yatterwan', b'Takada, Gan', b'Omotchama', b'Tonzura', b'Dokurobe', b'Hitomoto, Masami', b'Narrator']
animeVoices	[b'\nOhara, Noriko\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nTakahashi, Chiaki\nJapanese\n', b'\nTatekabe, Kazuya\nJapanese\n', b'\nTakiguchi, Junpei\nJapanese\n', b'\nHisamoto, Masami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasagawa, Hiroshi\n\nDirector\n\n', b'\nShimizu, Katsunori\n\nSound Director\n\n', b'\nUemura, Yutaka\n\nEpisode Director\n\n', b'\nYamazaki, Kazuo\n\nEpisode Director, Storyboard, Key Animation\n\n']
