animeTitle	Nandarou
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.16
animeUsers	1417
animeRank	
animePopularity	8464
animeDescription	"A short TV advertising spot featuring a small green pig with enormous eyes. 

The title Nandarou implies that even its creators didn't really know what kind of creature it was supposed to be. However, NTV (Nihon TV) chose it as their station's mascot. 

(Source: ANN, Nausicaa.net) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
