animeTitle	Doraemon Movie 40: Nobita no Shin Kyouryuu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	885
animeRank	
animePopularity	8915
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Doraemon: Nobita no Shin Kyouryuu', 'Doraemon (2005)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Piisuke', 'Sensei']
animeVoices	[]
animeStaff	[['Imai, Kazuaki', 'Director'], ['Kawamura, Genki', 'Script'], ['Fujiko, Fujio F.', 'Original Creator'], ['Mizutani, Shiori', '2nd Key Animation']]
