animeTitle	b'Pro Golfer Saru (TV)'
animeType	b'TV'
animeNumEpisode	143
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Pro Golfer Saru', b'Shin Pro Golfer Saru', b'Pro Golfer Saru: Super Golf World e no Chousen!!', b'Pro Golfer Saru: Kouga Hikyou! Kage no Ninpou Golfer Sanjou!']
animeCharacters	[b'Sarutani, Sarumaru', b'Hikage', b'Kenzaki, Ken', b'Mr. X', b'Killer, Shark', b'Narrator', b'Uncle', b'Kankurou', b'Daimaru', b'Nakamaru']
animeVoices	[b'\nTonguu, Kyouko\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nUtsumi, Kenji\nJapanese\n', b'\nKobayashi, Kiyoshi\nJapanese\n', b'\nNojima, Akio\nJapanese\n', b'\nTomita, Kousei\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n', b'\nMine, Atsuko\nJapanese\n', b'\nTakagi, Sanae\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishimura, Junji\n\nDirector\n\n', b'\nImagawa, Yasuhiro\n\nEpisode Director, Storyboard\n\n', b'\nTsukasa, Sunaga\n\nEpisode Director\n\n', b'\nIuchi, Shuji\n\nEpisode Director\n\n']
