animeTitle	Ore, Tsushima (ONA)
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2021-07-05 00:00:00
endDate	
animeNumMembers	2222
animeScore	6.45
animeUsers	761
animeRank	6382
animePopularity	9149
animeDescription	Web anime of Ore, Tsushima streamed on Asmik Ace's official YouTube channel.
animeRelated	['Ore, Tsushima']
animeCharacters	['Tsushima', 'Ojii-chan', 'Osamu', 'Zun-neesan']
animeVoices	['Ootsuka, Akio', 'Tanaka, Mayumi']
animeStaff	[['Yoshitomo', 'Director'], ['Houno, Satoshi', 'Music']]
