animeTitle	Kyoukai no Rinne (TV)
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	27034
animeRank	
animePopularity	1876
animeDescription	"Rinne Rokudou has bigger problems than going to school—namely, helping spirits pass over to the next life. Because of this responsibility, he often finds himself short on money and struggles to buy his necessities: food, clothes, and exorcism tools.

Sakura Mamiya has been able to see ghosts since she was little. She hoped she would outgrow it, but even after starting high school, nothing has changed. To make matters worse, the first time her ever-absent classmate, Rinne, shows up for school, only Sakura can see him. She assumes, as anyone would, that he is a ghost. However, to Sakura's surprise, Rinne proceeds to attend school like normal the next day. Kyoukai no Rinne chronicles Sakura's journey as she learns of Rinne's true nature and the existence of a hidden supernatural world.

[Written by MAL Rewrite]"
animeRelated	['Kyoukai no Rinne', 'Kyoukai no Rinne (TV) 2nd Season']
animeCharacters	['Rokudou, Rinne', 'Mamiya, Sakura', 'Rokumon', 'Juumonji, Tsubasa', 'Rokudou, Sabato', 'Masato', 'Tamako', 'Ageha', 'Mamiya, Mother', 'Kain']
animeVoices	['Ishikawa, Kaito', 'Inoue, Marina', 'Nabatame, Hitomi', 'Kimura, Ryouhei', 'Yamaguchi, Kappei', 'Kakihara, Tetsuya', 'Yukino, Satsuki', 'Murakawa, Rie', 'Hirano, Fumi', 'Saitou, Souma']
animeStaff	[['Sugawara, Seiki', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Passepied', 'Theme Song Performance'], ['KEYTALK', 'Theme Song Performance']]
