animeTitle	Kyouryuu Daisensou Izenborg
animeType	TV
animeNumEpisode	39
releaseDate	1977-10-07 00:00:00
endDate	1978-06-30 00:00:00
animeNumMembers	996
animeScore	6.62
animeUsers	321
animeRank	5502
animePopularity	11120
animeDescription	"Japan is being besieged by evil Dinosaurs that humanity have long thought extinct, they are back and are creating disaster. To counter the threat, a special team of expert warriors called Izenborg were created. Lamees and Kamal use their special powers to combine into Super Izenborg to battle the evil Satola and his Dinosaur army. 

(Source: ANN) "
animeRelated	['Kyouryuu Tankentai Born Free']
animeCharacters	['Dr. Torii', 'Tachibana, Zen', 'Gotes', 'Kurosawa, Ippei', 'Tachibana, Ai', 'Ururu', 'Kanbara, Gorou', 'Narrator']
animeVoices	['Mizutori, Tetsuo', 'Kami, Kyounosuke', 'Hazumi, Jun', 'Kanemoto, Shingo', 'Ichiryuusai, Harumi', 'Takiguchi, Junpei', 'Mori, Katsuji']
animeStaff	[['Kanada, Yoshinori', 'Key Animation']]
