animeTitle	b'Isobe Isobee Monogatari Jump Festa Special'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The DVD contains the Jump Festa 2015 Isobe Isobee Monogatari event anime. The release includes the episodes ""Gintama-hen,"" ""Shokugeki no Souma-hen,"" and ""Haikyuu!!-hen,"" which parody other Jump properties.\n\n(Source: ANN)'"
animeRelated	[b'Isobe Isobee Monogatari: Ukiyo wa Tsurai yo', b'Isobe Isobee Monogatari: Ukiyo wa Tsurai yo (2015)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
