animeTitle	b'Ore, Tsushima'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.05
animeUsers	4220
animeRank	
animePopularity	
animeDescription	b'One morning, an old lady meets a stray cat searching for food in garbage cans and decides to take him back home to give him a proper meal. Despite being surprised to learn that the cat named Tsushima has the ability to speak, she nevertheless chooses to adopt him and entertains all of his whims. Ore, Tsushima details the hilarious adventures of the gluttonous and lazy Tsushima leopard cat in his new foster family.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Ore, Tsushima (ONA)']
animeCharacters	[b'Tsushima', b'Ojii-chan', b'Osamu', b'Cha', b'Zun-neesan']
animeVoices	[b'\nOotsuka, Akio\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n', b'\nMatsuyama, Takashi\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nKoyama, Mami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAoki, Jun\n\nDirector, Script\n\n', b'\nOpuu no Kyoudai\n\nOriginal Creator\n\n']
