animeTitle	Duan Nao
animeType	ONA
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	6.46
animeUsers	845
animeRank	
animePopularity	6672
animeDescription	"The word cerebrum refers to a gigantic system consisting of collision universes, which is called cerebrum universe. The story starts from a series of unknown murders, unravelling the secret hiding beneath the entire universe, ranging from horrifying conspiracies to galaxy wars, from anti-human betrayals to honourable sacrifices. Having realised her weakness and backwardness, mankind takes the last stand.

(Source: Official website)"
animeRelated	['Duan Nao 2']
animeCharacters	['Xia, Chi', 'Qingzhi']
animeVoices	[]
animeStaff	[]
