animeTitle	b'Aru Tabibito no Nikki'
animeType	b'ONA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	10526
animeRank	
animePopularity	
animeDescription	b'Tortov Roddle is a man of few words on a journey through a calm and obscure new land, interacting with its inhabitants along the way. As he rides on his long-legged pig through the desert from town to town, he observes the interesting and quirky customs of the locals and reminisces about his past.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Aru Tabibito no Nikki Specials']
animeCharacters	[b'Roddle, Tortov']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKatou, Kunio\n\nProducer\n\n']
