animeTitle	Landreaall
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10420
animeDescription	"Siscon. Power-phobia. Son of the great General Luccafort. Son of a general. Wether-crown. Fourth-in-line for succession. The titles, accolades, expectations, respect, and envy for DX Luccafort keeps coming. But all he wanted to do was win Marion's hand. Landreaall follows DX, his sister Lon, and his bodyguard/brother Rokkou as they leave their home in the countryside and brace themselves to take on whatever their famous last name brings them.

(Source: MAL News)"
animeRelated	['Landreaall']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
