animeTitle	b'Ie Naki Ko'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	7.79
animeUsers	3596
animeRank	
animePopularity	
animeDescription	"b""Remi is a boy living happily with his mother in the French countryside. But everything changes when his estranged father comes home and, in desperate need of money, reveals that Remi is adopted, and sells him. Heartbroken, Remi ends up with Vitalis, a traveling musician, and his troupe of animal entertainers. Together, they travel the country in search for Remi's real parents, along the way learning the harsh lessons of life. A deeply moving story about friendship, loss and the pursuit of happiness. \n\n(Source: AniDB)"""
animeRelated	[b'Ie Naki Ko Remy', b'Chibikko Remi to Meiken Kapi', b'Ie Naki Ko (Movie)']
animeCharacters	[b'R\xc3\xa9mi', b'Vitalis', b'Mattia', b'Joli-c\xc5\x93ur', b'Mrs. Milligan', b'Bob', b'Capi', b'Acquin, Lise', b'Milligan, Arthur', b'Acquin, Benjamin']
animeVoices	[b'\nSugaya, Masako\nJapanese\n', b'\nKondou, Yousuke\nJapanese\n', b'\nOhara, Noriko\nJapanese\n', b'\nMutou, Reiko\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nKousaka, Makoto\nJapanese\n', b'\nYamamoto, Yoshiko\nJapanese\n', b'\nTsukase, Noriko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDezaki, Osamu\n\nDirector, Storyboard\n\n', b'\nShounen Shoujo Gasshoudan Mizuumi\n\nTheme Song Performance\n\n', b'\nNakamura, Ryuutarou\n\nKey Animation, In-Between Animation\n\n', b'\nKobayashi, Shichiro\n\nArt Director\n\n']
