animeTitle	Yasuke
animeType	ONA
animeNumEpisode	6
releaseDate	2021-04-29 00:00:00
endDate	
animeNumMembers	
animeScore	5.81
animeUsers	28929
animeRank	
animePopularity	2339
animeDescription	"A village in danger, a mysterious child, warring daimyo, and the greatest ronin never known all clash in a Japan of magic and mechs. Learn the story of the first African samurai.

(Source: Netflix)"
animeRelated	[]
animeCharacters	['Yasuke', 'Saki', 'Ishikawa', 'Abraham', 'Dark Lord', 'Morisuke', 'Hart', 'Oda, Nobunaga']
animeVoices	['Soejima, Jun', 'Kitamura, Eri', 'Ushiyama, Shigeru', 'Kubozuka, Shunsuke', 'Hira, Takehiro']
animeStaff	[['Thomas, LeSean', 'Director, Executive Producer'], ['Satou, Takeshi', 'Director'], ['Koike, Takeshi', 'Character Design'], ['Ellison, Steven', 'Music']]
