animeTitle	Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note
animeType	TV
animeNumEpisode	13
releaseDate	2019-07-07 00:00:00
endDate	2019-09-29 00:00:00
animeNumMembers	124003
animeScore	7.37
animeUsers	47451
animeRank	2104
animePopularity	1373
animeDescription	"Ten years after facing defeat in the Fourth Holy Grail War, Waver Velvet, now Lord El Melloi II, teaches classes at the Clock Tower—the center of education for mages. However, his new status as ""Lord"" comes with a caveat: obey the orders of Reines, the younger sister of the deceased Kayneth El Melloi, until she is old enough to rule the House of El Melloi.

Waver, along with his mysterious apprentice Gray, takes on a series of cases assigned by Reines and the Mages Association. With each case proving to be more complex than the last, could there be more to the Clock Tower than meets the eye, and what secrets does Reines hide?

[Written by MAL Rewrite]"
animeRelated	['Lord El-Melloi II-sei no Jikenbo', 'Fate/Zero', 'Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi']
animeCharacters	['Velvet, Waver', 'Gray', 'El-Melloi Archisorte, Reines', 'Edelfelt, Luviagelita', 'Arsimilat Animusphere, Olga-Marie', 'Shishigou, Kairi', 'Weins, Melvin', 'Escardos, Flatt', 'Lehrman, Yvette L.', 'Glascheit, Svin']
animeVoices	['Namikawa, Daisuke', 'Ueda, Reina', 'Minase, Inori', 'Itou, Shizuka', 'Yonezawa, Madoka', 'Nomura, Kenji', 'Hirakawa, Daisuke', 'Matsuoka, Yoshitsugu', 'Okasaki, Miho', 'Yamashita, Seiichirou']
animeStaff	[['Katou, Makoto', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Watanabe, Tetsuaki', 'Episode Director'], ['Kodachi, Ukyou', 'Script, Series Composition']]
