animeTitle	Short Peace Opening
animeType	Special
animeNumEpisode	1
releaseDate	2013-07-20 00:00:00
endDate	
animeNumMembers	5617
animeScore	6.21
animeUsers	2719
animeRank	7629
animePopularity	6681
animeDescription	The opening animation of the compilation movie, Short Peace.
animeRelated	['Hi no Youjin', 'Tsukumo', 'Buki yo Saraba', 'Gambo']
animeCharacters	['Mai']
animeVoices	['Haruna, Fuuka']
animeStaff	[['Morimoto, Kouji', 'Director, Setting, Key Animation'], ['Ledford, John', 'Executive Producer'], ['Jones, Kyle', 'ADR Director']]
