animeTitle	Botsuraku
animeType	Music
animeNumEpisode	1
releaseDate	2018-12-10 00:00:00
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	119
animeRank	
animePopularity	15883
animeDescription	"A short music video of the song Botsuraku by the band ""Boku no Lyric no Bouyomi."" It was made in honor of their 4th album of the same name going on sale the 2 days later. "
animeRelated	['Asayake to Nettaigyo', 'Boku wa Mou Inai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
