animeTitle	Kuusou Kagaku Sekai Gulliver Boy
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	259
animeRank	
animePopularity	10616
animeDescription	"Gulliver, a boy born with the ability to use magic was forced against his will to attend a magician school to improve his abilities to protect his city. He manages to escape just to find out that his home town was destroyed by the evil Judau's army. Judau personally kills his father and oaths to kill Gulliver as well. Meanwhile Gulliver and his friend Eddison rescue a girl named Misty who is running away from Judau. Along with a fairy named Phoebe, a lone wolf ninja named Gecko and an ancient ship; Gulliver and his friends set out on an adventure to defeat Judau and to discover the secrets of Atlantis.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Phoebe', 'Judau', 'Edison', 'Misty', 'Toscanni, Gulliver', 'Full Moon Baron', 'Lawrence', 'Lee 10 Bai', 'Budo Muscle', 'Toscanni, Papa']
animeVoices	['Yamazaki, Wakana', 'Shiozawa, Kaneto', 'Ootani, Ikue', 'Yokoyama, Chisa', 'Yamaguchi, Kappei', 'Shimada, Bin', 'Morikawa, Toshiyuki', 'Chafurin', 'Takagi, Wataru', 'Aono, Takeshi']
animeStaff	[['Mutou, Yuuji', 'Episode Director, Storyboard'], ['Ooba, Hideaki', 'Episode Director, Storyboard'], ['Kaizawa, Yukio', 'Episode Director'], ['Tanaka, Kouhei', 'Music']]
