animeTitle	Sleeping Beauty
animeType	Music
animeNumEpisode	1
releaseDate	2018-07-06 00:00:00
endDate	
animeNumMembers	
animeScore	5.92
animeUsers	112
animeRank	
animePopularity	15862
animeDescription	"Official music video for the collaborative song ""Sleeping Beauty"" by Korean hip-hop group Epik High and Japanese pop band Sekai no Owari (also known as End of the World). It is directed by Kousuke Sugimoto."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
