animeTitle	Chocolat no Mahou
animeType	OVA
animeNumEpisode	13
releaseDate	2011-03-03 00:00:00
endDate	2013-01-19 00:00:00
animeNumMembers	
animeScore	6.23
animeUsers	1252
animeRank	
animePopularity	6044
animeDescription	"Chocolatier Chocolat Aikawa and her enigmatic acquaintance Cacao Theobroma run a shop named Chocolat Noir, which is famous for its specially crafted chocolates, known to miraculously grant wishes. A variety of troubled individuals find themselves in front of the shop, seeking its merchandise, but these chocolates are expensive—each customer must pay with their most precious belonging.

Although Chocolat seems to be a lady who would have no problems of her own, due to her ability to grant wishes, beneath her mysterious facade is a distressed young girl who has not settled a score from her past...

[Written by MAL Rewrite]"
animeRelated	['Chocolat no Mahou']
animeCharacters	['Aikawa, Chocolat', 'Theobroma, Cacao', 'Watanabe, Kei', 'Takagi, Shun', 'Hayakawa, Shou', 'Mitsukawa, Ryoku', 'Ichijou, Yuzuru', 'Joe', 'Shidou, Ryuuzan', 'Ootsuki, Eiji']
animeVoices	['Yukana', 'Miyata, Kouki', 'Sasada, Takayuki', 'Kawanishi, Kengo', 'Satou, Takuya', 'Midorikawa, Hikaru', 'Takahashi, Kouji', 'Sasaki, Hiroo', 'Hoshino, Mitsuaki', 'Mizushima, Takahiro']
animeStaff	[['Kimura, Shinichiro', 'Director'], ['Rino, Mizuho', 'Original Creator'], ['Minobe, Tomoko', 'Director of Photography'], ['Nammoku, Yumi', 'Color Design']]
