animeTitle	Saimin Class
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	2103
animeRank	
animePopularity	6524
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Saimin Class: Joshi Zenin, Shiranai Uchi ni Ninshin Shitemashita', 'Saimin Class: Joshi Zenin, Shiranai Uchi ni Ninshin Shitemashita - Iinchou no Tokubetsu Jugyou-hen', 'Saimin Class Wonderful: Joshi Zenin, Shiranai Uchi ni Mata Ninshin Shitemashita']
animeCharacters	['Kujou, Sakura']
animeVoices	[]
animeStaff	[]
