animeTitle	So-na-gi
animeType	Movie
animeNumEpisode	1
releaseDate	2017-08-31 00:00:00
endDate	
animeNumMembers	329
animeScore	
animeUsers	
animeRank	13419
animePopularity	14230
animeDescription	A little girl always plays on the stepping stones in the brook. A shy little boy hovers around her unable to ask her that he wishes to be alone. Suddenly, it rains and they seek shelter together, which brings them closer.
animeRelated	[]
animeCharacters	['Girl', 'Boy']
animeVoices	[]
animeStaff	[]
